COMPANY_CODE,POLICY_NUMBER,POLICY_STATUS,POLICY_SUB_STATUS,PRODUCT_CODE,ISSUE_DATE,ISSUE_STATE,PREMIUM_AMT,TOTAL_PREMIUM_PAID
JH,POL-LTC-10001,Active,In Good Standing,LTC_STD,2020-04-20,MA,297.58,30462.06
JH,POL-LTC-10002,Active,Payment Pending,LTC_STD,2019-04-21,MA,369.37,22925.99
JH,POL-LTC-10003,Active,Payment Pending,LTC_PLUS,2017-08-05,MA,628.57,8069.38
JH,POL-LTC-10004,Active,In Good Standing,LTC_PLUS,2013-10-10,MA,281.15,37712.89
JH,POL-LTC-10005,Active,In Good Standing,LTC_STD,2012-04-13,MA,352.02,14006.79
JH,POL-LTC-10006,Active,In Good Standing,LTC_STD,2025-03-08,MA,309.08,4817.57
JH,POL-LTC-10007,Active,In Good Standing,LTC_PLUS,2024-06-20,MA,337.31,11602.45
JH,POL-LTC-10008,Active,In Good Standing,LTC_STD,2014-04-27,MA,584.29,44745.55
JH,POL-LTC-10009,Active,In Good Standing,LTC_STD,2016-12-16,MA,585.98,30339.37
JH,POL-LTC-10010,Active,Payment Pending,LTC_PLUS,2021-04-11,MA,569.0,5362.65
JH,POL-LTC-10011,Active,In Good Standing,LTC_PLUS,2012-02-09,MA,403.44,31005.59
JH,POL-LTC-10012,Active,In Good Standing,LTC_STD,2021-02-01,MA,568.59,19269.75
JH,POL-LTC-10013,Active,In Good Standing,LTC_STD,2017-08-08,MA,521.95,36354.78
JH,POL-LTC-10014,Active,In Good Standing,LTC_STD,2017-06-12,MA,518.23,43979.3
JH,POL-LTC-10015,Active,In Good Standing,LTC_PLUS,2025-07-23,MA,628.28,7783.24
JH,POL-LTC-10016,Active,In Good Standing,LTC_PLUS,2019-07-18,MA,702.85,10491.33
JH,POL-LTC-10017,Active,In Good Standing,LTC_PLUS,2019-02-26,MA,498.0,28248.49
JH,POL-LTC-10018,Active,In Good Standing,LTC_STD,2020-09-10,MA,475.69,18632.24
JH,POL-LTC-10019,Active,In Good Standing,LTC_STD,2015-06-21,MA,674.99,43961.48
JH,POL-LTC-10020,Active,In Good Standing,LTC_STD,2024-07-01,MA,620.09,18541.75
JH,POL-LTC-10021,Active,In Good Standing,LTC_STD,2016-02-12,MA,644.7,18764.21
JH,POL-LTC-10022,Lapsed,In Good Standing,LTC_STD,2019-02-02,MA,769.1,39361.88
JH,POL-LTC-10023,Active,In Good Standing,LTC_PLUS,2025-01-11,MA,749.67,28952.26
JH,POL-LTC-10024,Lapsed,In Good Standing,LTC_STD,2023-09-09,MA,283.39,14625.23
JH,POL-LTC-10025,Active,In Good Standing,LTC_STD,2021-08-03,MA,298.68,46881.84
JH,POL-LTC-10026,Active,In Good Standing,LTC_STD,2017-04-05,MA,483.19,22826.16
JH,POL-LTC-10027,Active,In Good Standing,LTC_PLUS,2024-02-18,MA,612.59,29078.6
JH,POL-LTC-10028,Active,In Good Standing,LTC_PLUS,2017-05-26,MA,675.27,31644.46
JH,POL-LTC-10029,Active,In Good Standing,LTC_PLUS,2025-04-03,MA,330.71,36389.63
JH,POL-LTC-10030,Active,In Good Standing,LTC_STD,2018-06-12,MA,347.0,13032.5
JH,POL-LTC-10031,Active,In Good Standing,LTC_PLUS,2024-12-15,MA,468.56,47610.06
JH,POL-LTC-10032,Lapsed,In Good Standing,LTC_PLUS,2017-02-19,MA,549.35,9356.15
JH,POL-LTC-10033,Active,In Good Standing,LTC_STD,2015-10-26,MA,332.8,11930.23
JH,POL-LTC-10034,Active,In Good Standing,LTC_PLUS,2013-02-04,MA,633.26,27096.57
JH,POL-LTC-10035,Active,In Good Standing,LTC_STD,2018-12-17,MA,740.76,37586.59
JH,POL-LTC-10036,Active,In Good Standing,LTC_STD,2013-11-09,MA,740.82,49048.08
JH,POL-LTC-10037,Lapsed,In Good Standing,LTC_STD,2018-05-27,MA,611.24,10902.77
JH,POL-LTC-10038,Lapsed,In Good Standing,LTC_PLUS,2015-06-07,MA,449.5,47679.5
JH,POL-LTC-10039,Active,In Good Standing,LTC_STD,2012-07-16,MA,314.73,36590.44
JH,POL-LTC-10040,Active,In Good Standing,LTC_STD,2021-08-20,MA,437.32,31538.25
JH,POL-LTC-10041,Active,In Good Standing,LTC_STD,2014-08-17,MA,570.93,39493.31
JH,POL-LTC-10042,Active,Payment Pending,LTC_STD,2021-05-04,MA,586.42,9849.01
JH,POL-LTC-10043,Active,In Good Standing,LTC_PLUS,2020-05-24,MA,470.64,48491.28
JH,POL-LTC-10044,Active,In Good Standing,LTC_PLUS,2012-04-25,MA,676.39,7494.61
JH,POL-LTC-10045,Active,In Good Standing,LTC_PLUS,2014-03-22,MA,441.72,25213.58
