RES_PERSON_ID,EDGE_NAME,EDGE_DETAIL,EDGE_DETAIL_DSC,POLICY_NUMBER
5001,IS_COVERED_BY,,,POL-LTC-10023
5002,IS_COVERED_BY,,,POL-LTC-10203
5002,SOLD_POLICY,WRITING_AGENT,AGENT,POL-LTC-10064
5003,IS_COVERED_BY,,,POL-LTC-10045
5004,IS_COVERED_BY,,,POL-LTC-10020
5005,IS_COVERED_BY,,,POL-LTC-10061
5006,IS_COVERED_BY,,,POL-LTC-10039
5007,IS_COVERED_BY,,,POL-LTC-10027
5008,IS_COVERED_BY,,,POL-LTC-10122
5009,IS_COVERED_BY,,,POL-LTC-10066
5010,IS_COVERED_BY,,,POL-LTC-10084
5011,IS_COVERED_BY,,,POL-LTC-10119
5012,IS_COVERED_BY,,,POL-LTC-10109
5013,IS_COVERED_BY,,,POL-LTC-10053
5014,IS_COVERED_BY,,,POL-LTC-10104
5015,IS_COVERED_BY,,,POL-LTC-10061
5016,IS_COVERED_BY,,,POL-LTC-10192
5017,IS_COVERED_BY,,,POL-LTC-10225
5018,IS_COVERED_BY,,,POL-LTC-10092
5019,IS_COVERED_BY,,,POL-LTC-10169
5020,IS_COVERED_BY,,,POL-LTC-10090
5021,IS_COVERED_BY,,,POL-LTC-10224
5022,IS_COVERED_BY,,,POL-LTC-10170
5023,IS_COVERED_BY,,,POL-LTC-10171
5024,IS_COVERED_BY,,,POL-LTC-10016
5025,IS_COVERED_BY,,,POL-LTC-10054
5026,IS_COVERED_BY,,,POL-LTC-10227
5027,IS_COVERED_BY,,,POL-LTC-10031
5027,SOLD_POLICY,WRITING_AGENT,AGENT,POL-LTC-10143
5028,IS_COVERED_BY,,,POL-LTC-10178
5029,IS_COVERED_BY,,,POL-LTC-10079
5030,IS_COVERED_BY,,,POL-LTC-10199
5030,SOLD_POLICY,WRITING_AGENT,AGENT,POL-LTC-10080
5031,IS_COVERED_BY,,,POL-LTC-10075
5032,IS_COVERED_BY,,,POL-LTC-10002
5033,IS_COVERED_BY,,,POL-LTC-10068
5034,IS_COVERED_BY,,,POL-LTC-10148
5035,IS_COVERED_BY,,,POL-LTC-10237
5036,IS_COVERED_BY,,,POL-LTC-10205
5037,IS_COVERED_BY,,,POL-LTC-10221
5038,IS_COVERED_BY,,,POL-LTC-10210
5039,IS_COVERED_BY,,,POL-LTC-10231
5039,SOLD_POLICY,WRITING_AGENT,AGENT,POL-LTC-10114
5040,IS_COVERED_BY,,,POL-LTC-10230
5041,IS_COVERED_BY,,,POL-LTC-10122
5042,IS_COVERED_BY,,,POL-LTC-10173
5042,SOLD_POLICY,WRITING_AGENT,AGENT,POL-LTC-10081
5043,IS_COVERED_BY,,,POL-LTC-10104
5044,IS_COVERED_BY,,,POL-LTC-10062
5045,IS_COVERED_BY,,,POL-LTC-10199
5046,IS_COVERED_BY,,,POL-LTC-10148
5047,IS_COVERED_BY,,,POL-LTC-10052
5047,SOLD_POLICY,WRITING_AGENT,AGENT,POL-LTC-10096
5048,IS_COVERED_BY,,,POL-LTC-10021
5049,IS_COVERED_BY,,,POL-LTC-10001
5050,IS_COVERED_BY,,,POL-LTC-10143
5051,IS_COVERED_BY,,,POL-LTC-10111
5052,IS_COVERED_BY,,,POL-LTC-10185
5053,IS_COVERED_BY,,,POL-LTC-10021
5054,IS_COVERED_BY,,,POL-LTC-10101
5055,IS_COVERED_BY,,,POL-LTC-10003
5056,IS_COVERED_BY,,,POL-LTC-10211
5057,IS_COVERED_BY,,,POL-LTC-10182
5058,IS_COVERED_BY,,,POL-LTC-10066
5059,IS_COVERED_BY,,,POL-LTC-10102
5060,IS_COVERED_BY,,,POL-LTC-10182
5061,IS_COVERED_BY,,,POL-LTC-10016
5062,IS_COVERED_BY,,,POL-LTC-10225
5063,IS_COVERED_BY,,,POL-LTC-10190
5064,IS_COVERED_BY,,,POL-LTC-10096
5065,IS_COVERED_BY,,,POL-LTC-10127
5066,IS_COVERED_BY,,,POL-LTC-10076
5067,IS_COVERED_BY,,,POL-LTC-10101
5068,IS_COVERED_BY,,,POL-LTC-10206
5069,IS_COVERED_BY,,,POL-LTC-10086
5070,IS_COVERED_BY,,,POL-LTC-10195
5071,IS_COVERED_BY,,,POL-LTC-10211
5072,IS_COVERED_BY,,,POL-LTC-10032
5073,IS_COVERED_BY,,,POL-LTC-10037
5074,IS_COVERED_BY,,,POL-LTC-10050
5075,IS_COVERED_BY,,,POL-LTC-10213
5076,IS_COVERED_BY,,,POL-LTC-10219
5077,IS_COVERED_BY,,,POL-LTC-10030
5078,IS_COVERED_BY,,,POL-LTC-10236
5079,IS_COVERED_BY,,,POL-LTC-10113
5080,IS_COVERED_BY,,,POL-LTC-10211
5081,IS_COVERED_BY,,,POL-LTC-10157
5082,IS_COVERED_BY,,,POL-LTC-10046
5083,IS_COVERED_BY,,,POL-LTC-10145
5084,IS_COVERED_BY,,,POL-LTC-10039
5085,IS_COVERED_BY,,,POL-LTC-10216
5086,IS_COVERED_BY,,,POL-LTC-10169
5087,IS_COVERED_BY,,,POL-LTC-10070
5088,IS_COVERED_BY,,,POL-LTC-10168
5089,IS_COVERED_BY,,,POL-LTC-10170
5090,IS_COVERED_BY,,,POL-LTC-10064
5091,IS_COVERED_BY,,,POL-LTC-10222
5092,IS_COVERED_BY,,,POL-LTC-10104
5093,IS_COVERED_BY,,,POL-LTC-10158
5094,IS_COVERED_BY,,,POL-LTC-10084
5095,IS_COVERED_BY,,,POL-LTC-10135
5096,IS_COVERED_BY,,,POL-LTC-10189
5097,IS_COVERED_BY,,,POL-LTC-10236
5098,IS_COVERED_BY,,,POL-LTC-10229
5099,IS_COVERED_BY,,,POL-LTC-10124
5100,IS_COVERED_BY,,,POL-LTC-10196
5100,SOLD_POLICY,WRITING_AGENT,AGENT,POL-LTC-10149
5101,IS_COVERED_BY,,,POL-LTC-10017
5102,IS_COVERED_BY,,,POL-LTC-10200
5103,IS_COVERED_BY,,,POL-LTC-10202
5104,IS_COVERED_BY,,,POL-LTC-10195
5105,IS_COVERED_BY,,,POL-LTC-10154
5106,IS_COVERED_BY,,,POL-LTC-10043
5107,IS_COVERED_BY,,,POL-LTC-10101
5108,IS_COVERED_BY,,,POL-LTC-10124
5109,IS_COVERED_BY,,,POL-LTC-10188
5110,IS_COVERED_BY,,,POL-LTC-10073
5111,IS_COVERED_BY,,,POL-LTC-10188
5112,IS_COVERED_BY,,,POL-LTC-10234
5113,IS_COVERED_BY,,,POL-LTC-10089
5114,IS_COVERED_BY,,,POL-LTC-10226
5115,IS_COVERED_BY,,,POL-LTC-10170
5116,IS_COVERED_BY,,,POL-LTC-10090
5117,IS_COVERED_BY,,,POL-LTC-10101
5118,IS_COVERED_BY,,,POL-LTC-10017
5119,IS_COVERED_BY,,,POL-LTC-10131
5120,IS_COVERED_BY,,,POL-LTC-10139
5121,IS_COVERED_BY,,,POL-LTC-10222
5122,IS_COVERED_BY,,,POL-LTC-10005
5123,IS_COVERED_BY,,,POL-LTC-10043
5124,IS_COVERED_BY,,,POL-LTC-10061
5125,IS_COVERED_BY,,,POL-LTC-10225
5126,IS_COVERED_BY,,,POL-LTC-10142
5127,IS_COVERED_BY,,,POL-LTC-10099
5128,IS_COVERED_BY,,,POL-LTC-10146
5129,IS_COVERED_BY,,,POL-LTC-10187
5130,IS_COVERED_BY,,,POL-LTC-10148
5131,IS_COVERED_BY,,,POL-LTC-10212
5132,IS_COVERED_BY,,,POL-LTC-10080
5133,IS_COVERED_BY,,,POL-LTC-10223
5134,IS_COVERED_BY,,,POL-LTC-10052
5135,IS_COVERED_BY,,,POL-LTC-10079
5136,IS_COVERED_BY,,,POL-LTC-10051
5136,SOLD_POLICY,WRITING_AGENT,AGENT,POL-LTC-10087
5137,IS_COVERED_BY,,,POL-LTC-10013
5138,IS_COVERED_BY,,,POL-LTC-10142
5139,IS_COVERED_BY,,,POL-LTC-10187
5140,IS_COVERED_BY,,,POL-LTC-10196
5141,IS_COVERED_BY,,,POL-LTC-10190
5141,SOLD_POLICY,WRITING_AGENT,AGENT,POL-LTC-10060
5142,IS_COVERED_BY,,,POL-LTC-10080
5143,IS_COVERED_BY,,,POL-LTC-10025
5143,SOLD_POLICY,WRITING_AGENT,AGENT,POL-LTC-10011
5144,IS_COVERED_BY,,,POL-LTC-10149
