RES_BUSINESS_ID,BUSINESS_NAME,TAX_ID,BUSINESS_TYPE,DUNS_NUMBER
7001,APEX CARE 1 LLC,26-3838294,HHCA,435680736
7002,HARBOR CARE 2 LLC,61-2445242,BILLING,610320015
7003,APEX CARE 3 LLC,47-7153817,HOME_SERVICES,441575314
7004,RESOLVE CARE 4 LLC,66-6023220,HHCA,581268368
7005,APEX CARE 5 LLC,91-1272690,NH,878514720
7006,NORTH SHORE CARE 6 LLC,28-9791043,BILLING,591227141
7007,RESOLVE CARE 7 LLC,91-2189702,BILLING,646782574
7008,RESOLVE CARE 8 LLC,91-9064652,NH,738078282
7009,RESOLVE CARE 9 LLC,36-8162460,HOME_SERVICES,306659291
7010,APEX CARE 10 LLC,61-4070873,BILLING,419792828
7011,NORTH SHORE CARE 11 LLC,11-4686654,HHCA,132874515
7012,RESOLVE CARE 12 LLC,71-8027062,HOME_SERVICES,356677578
7013,APEX CARE 13 LLC,92-5438185,HOME_SERVICES,596093942
7014,NORTH SHORE CARE 14 LLC,89-1833222,PT_CLINIC,522312735
7015,NORTH SHORE CARE 15 LLC,86-4939443,PT_CLINIC,926725292
7016,RESOLVE CARE 16 LLC,25-5286681,BILLING,730873591
