RES_PERSON_ID_SRC,EDGE_NAME,EDGE_DETAIL,EDGE_DETAIL_DSC,RES_PERSON_ID_TGT
5100,IS_RELATED_TO,BUSINESS_PARTNER,FAMILY,5163
5167,IS_SPOUSE_OF,SPOUSE,FAMILY,5055
5011,IS_RELATED_TO,SISTER,FAMILY,5055
5108,IS_SPOUSE_OF,SPOUSE,FAMILY,5148
5107,IS_RELATED_TO,SISTER,FAMILY,5151
5140,IS_RELATED_TO,COUSIN,FAMILY,5114
5117,IS_SPOUSE_OF,COUSIN,FAMILY,5034
5042,IS_RELATED_TO,SPOUSE,FAMILY,5162
5100,IS_SPOUSE_OF,BUSINESS_PARTNER,FAMILY,5153
5138,IS_SPOUSE_OF,BUSINESS_PARTNER,FAMILY,5156
5040,IS_SPOUSE_OF,SPOUSE,FAMILY,5005
5169,IS_SPOUSE_OF,COUSIN,FAMILY,5113
5018,IS_RELATED_TO,SISTER,FAMILY,5164
5146,IS_RELATED_TO,BUSINESS_PARTNER,FAMILY,5155
5008,IS_SPOUSE_OF,BUSINESS_PARTNER,FAMILY,5055
5146,IS_RELATED_TO,SISTER,FAMILY,5168
5146,IS_SPOUSE_OF,COUSIN,FAMILY,5166
5158,IS_RELATED_TO,COUSIN,FAMILY,5159
5047,IS_RELATED_TO,SISTER,FAMILY,5095
5167,IS_SPOUSE_OF,COUSIN,FAMILY,5089
5006,IS_RELATED_TO,SISTER,FAMILY,5103
5109,IS_SPOUSE_OF,COUSIN,FAMILY,5088
5073,IS_SPOUSE_OF,SISTER,FAMILY,5048
5176,IS_SPOUSE_OF,SPOUSE,FAMILY,5162
5045,IS_SPOUSE_OF,COUSIN,FAMILY,5003
5052,IS_RELATED_TO,SPOUSE,FAMILY,5011
5057,IS_SPOUSE_OF,SPOUSE,FAMILY,5058
5136,IS_SPOUSE_OF,SPOUSE,FAMILY,5160
5075,IS_SPOUSE_OF,SISTER,FAMILY,5168
5093,IS_SPOUSE_OF,BUSINESS_PARTNER,FAMILY,5019
5070,IS_RELATED_TO,SPOUSE,FAMILY,5028
5050,IS_RELATED_TO,BUSINESS_PARTNER,FAMILY,5058
5091,IS_RELATED_TO,BUSINESS_PARTNER,FAMILY,5050
5129,IS_RELATED_TO,SISTER,FAMILY,5057
5166,IS_RELATED_TO,BUSINESS_PARTNER,FAMILY,5083
5139,IS_RELATED_TO,SISTER,FAMILY,5101
5002,IS_SPOUSE_OF,SISTER,FAMILY,5065
5027,IS_RELATED_TO,SPOUSE,FAMILY,5100
5077,IS_SPOUSE_OF,BUSINESS_PARTNER,FAMILY,5037
5129,IS_RELATED_TO,COUSIN,FAMILY,5045
5066,IS_SPOUSE_OF,COUSIN,FAMILY,5052
5089,IS_SPOUSE_OF,COUSIN,FAMILY,5173
5147,IS_SPOUSE_OF,SPOUSE,FAMILY,5020
5049,IS_RELATED_TO,BUSINESS_PARTNER,FAMILY,5159
5048,IS_RELATED_TO,COUSIN,FAMILY,5008
5125,IS_SPOUSE_OF,SISTER,FAMILY,5107
5043,IS_SPOUSE_OF,COUSIN,FAMILY,5089
5017,IS_RELATED_TO,SISTER,FAMILY,5032
5081,IS_SPOUSE_OF,SISTER,FAMILY,5025
5040,IS_SPOUSE_OF,COUSIN,FAMILY,5065
5095,IS_SPOUSE_OF,SISTER,FAMILY,5091
5126,IS_SPOUSE_OF,SISTER,FAMILY,5070
5149,IS_RELATED_TO,SPOUSE,FAMILY,5152
5125,IS_RELATED_TO,BUSINESS_PARTNER,FAMILY,5049
5055,IS_SPOUSE_OF,SPOUSE,FAMILY,5012
5009,IS_SPOUSE_OF,BUSINESS_PARTNER,FAMILY,5018
5108,IS_RELATED_TO,COUSIN,FAMILY,5072
5031,IS_RELATED_TO,SPOUSE,FAMILY,5067
5173,IS_RELATED_TO,SISTER,FAMILY,5019
5129,IS_RELATED_TO,COUSIN,FAMILY,5042
5005,IS_SPOUSE_OF,SPOUSE,FAMILY,5072
5131,IS_SPOUSE_OF,COUSIN,FAMILY,5017
5015,IS_SPOUSE_OF,BUSINESS_PARTNER,FAMILY,5088
5135,IS_RELATED_TO,COUSIN,FAMILY,5129
5105,IS_SPOUSE_OF,SISTER,FAMILY,5021
5150,IS_RELATED_TO,SISTER,FAMILY,5086
5094,IS_RELATED_TO,COUSIN,FAMILY,5062
5014,IS_SPOUSE_OF,SISTER,FAMILY,5123
5008,IS_SPOUSE_OF,SISTER,FAMILY,5175
